title
12 stulyev (1971)
Al-mummia (1969)
"Ali Zaoua, prince de la rue (2000)"
Apariencias (2000)
Ardh Satya (1983)
Armaan (2003)
Armaan (1966)
Babettes gæstebud (1987)
Banshun (1949)
Bidaya wa Nihaya (1960)
Variety (2008)
"Bon Cop, Bad Cop (2006)"
Brilliantovaja ruka (1969)
C'est arrivé près de chez vous (1992)
Carlota Joaquina - Princesa do Brasil (1995)
Cicak-man (2006)
Da Nao Tian Gong (1965)
Das indische Grabmal (1959)
Das Leben der Anderen (2006)
Den store gavtyv (1956)
Der Tiger von Eschnapur (1959)
Devdas (2002)
Dhum Dhadaka (1985)
Diarios de motocicleta (2004)
Dil Chahta Hai (2001)
Dona Flor e Seus Dois Maridos (1976)
Dr. No (1962)
Ek Duuje Ke Liye (1981)
El haram (1965)
El laberinto del fauno (2006)
Elippathayam (1981)
Flickan som lekte med elden (2009)
Ghazal al-banat (1949)
Gol Maal (1979)
Gondhalat Gondhal (1981)
Goo Naam Gwa Neui (2000)
Good Bye Lenin! (2003)
Hái-kak Chhit-ho (2008)
I Not Stupid (2002)
I soliti ignoti (1958)
Il Sorpasso (1962)
Inglourious Basterds (2009)
"Ironiya sudby, ili S legkim parom! (1975)"
Jonas qui aura 25 ans en l'an 2000 (1976)
Kaminey (2009)
"Kavkazskaja plennitsa, ili Novye prikljuchenija Shurika (1967)"
Kavkazskiy plennik (1996)
Kolja (1996)
Kruimeltje (1999)
L'Armata Brancaleone (1966)
La grande vadrouille (1966)
La mort de Mario Ricci (1983)
La vita è bella (1997)
Laskar pelangi (2008)
Le déclin de l'empire américain (1986)
Le Pacte des loups (2001)
Le Wazzou polygame (1971)
Mamma Mia! (2008)
Män som hatar kvinnor (2009)
Mar adentro (2004)
Marock (2005)
Max Manus (2008)
Minoes (2001)
Mononoke-hime (1997)
Moskva slezam ne verit (1980)
Mother India (1957)
Muthu (1995)
Nayakan (1987)
Nochnoj Dozor (2004)
O Quatrilho (1995)
Om Shanti Om (2007)
Operatsiya Y i drugiye priklyucheniya Shurika (1965)
Operetta tanuki goten (2005)
Orfeu Negro (1959)
Orkestar bez ime (1982)
Parasakthi (1952)
Pásla kone na betóne (1982)
Pelle erobreren (1987)
Peter's Friends (1992)
Pixote (1981)
Poppitz (2002)
Potomok Chingis-Khana (1928)
Przesluchanie (1989)
Pulp Fiction (1994)
Rashômon (1950)
Rosetta (1999)
Rudraveena (1988)
Schindler's List (1993)
"Sexo, pudor y lágrimas (1999)"
Shaan (1980)
Shankarabharanam (1979)
Sitanda (2006)
Siu Lam Juk Kau (2001)
Sivaji (2007)
Star Wars (1977)
Tampopo (1985)
The Dark Knight (2008)
The Godfather (1972)
The Shawshank Redemption (1994)
Titanic (1997)
Todo sobre mi madre (1999)
Ugetsu monogatari (1953)
Umberto D. (1952)
Vojna i mir (1966)
Ja shagaju po Moskve (1964)
Yeopgijeogin geunyeo (2001)
Zawgat Ragol Mohim (1987)
Zemsta (2002)
"¡Ay, Carmela! (1990)"
Charade (1963)
La Règle du jeu (1939)
North by Northwest (1959)
Singin' in the Rain (1952)
Rear Window (1954)
City Lights (1931)
The Searchers (1956)
All About Eve (1950)
The Treasure of the Sierra Madre (1948)
High Noon (1952)
Some Like It Hot (1959)
Treasure Island (1934)
Treasure Island (1950)
Treasure Island (1972)
Treasure Island (1990)
The Man Who Knew Too Much (1934)
The Man Who Knew Too Much (1956)
Strangers on a Train (1951)
The Magnificent Ambersons (1942)
New York Stories (1989)
The Witches (1966)
The Longest Day (1962)
"Hello, Dolly! (1969)"
The Bridges of Madison County (1995)
The Great Dictator (1940)
The Kid (1921)
Desperately Seeking Susan (1985)
L'Avventura (1960)
The Nutty Professor (1963)
Twins (1988)
Kuch Kuch Hota Hai (1998)
To Be or Not to Be (1942)
Ninotchka (1939)
Devdas (1935)
Devdas (1936)
Devdas (1955)
Fargo (1996)
Annie Hall (1977)
Blade Runner (1982)
Bronenosets Potyomkin (1925)
Casablanca (1942)
Citizen Kane (1941)
Das Boot (1981)
Det sjunde inseglet (1957)
Doctor Zhivago (1965)
Goodfellas (1990)
"Il buono, il brutto, il cattivo (1966)"
Jaws (1975)
Ladri di biciclette (1948)
Lawrence Of Arabia (1962)
The Fifth Element (1997)
Les Visiteurs du Soir (1942)
Mary Poppins (1964)
On The Waterfront (1954)
Pather Panchali (1955)
Shichinin no Samurai (1954)
Sholay (1975)
The Sound of Music (1965)
The Third Man (1949)
Notorious (1946)
Devdas (1937)
La Ta Da Wang Yu Ji (1986)
A Fei Jingjyuhn (1990)
Ging Chat Goo Si (1985)
The Gay Divorcee (1934)
Top Hat (1935)
Shall We Dance (1937)
